STATION	LONGITUDE	LATITUDE	NOISE(NM/S)	NOISE(CATEGORY)
1Y.GR01	23.291	41.285	385.598	H
1Y.GR03	24.882	41.150	204.986	H
1Y.GR04	24.964	40.980	448.165	H
1Y.GR05	25.599	40.869	525.093	H
1Y.GR06	26.272	41.339	246.446	H
1Y.GR07	22.021	40.784	182.831	M
1Y.GR09	23.687	40.660	303.736	H
1Y.GR10	21.594	40.483	166.866	M
1Y.GR11	22.190	40.523	201.807	H
1Y.GR12	22.542	40.471	438.370	H
1Y.GR13	23.186	40.352	208.107	H
1Y.GR14	20.579	39.900	1141.685	H
1Y.GR15	21.047	39.941	198.985	M
1Y.GR16	21.938	40.042	261.739	H
1Y.GR17	21.631	39.734	173.014	M
1Y.GR18	22.668	39.728	270.071	H
1Y.GR19B	20.016	39.405	279.913	H
1Y.GR20	21.746	39.235	227.261	H
1Y.GR21	22.513	39.373	1038.896	H
1Y.GR22	22.826	39.089	1845.719	H
1Y.GR23	23.229	38.808	295.981	H
1Y.GR24	22.194	38.689	165.206	M
1Y.GR26	23.411	38.400	307.354	H
1Y.GR27	24.233	38.182	2245.805	H
1Y.GR28	21.140	37.890	852.748	H
1Y.GR29	21.923	37.704	267.240	H
1Y.GR30	22.577	37.522	320.386	H
1Y.GR31	22.521	37.033	552.795	H
1Y.GR32	22.988	36.967	195.502	M
1Y.GR33	22.334	36.762	103.148	M
1Y.MK01A	21.851	42.279	551.677	H
1Y.MK02A	20.884	42.013	586.987	H
1Y.MK03A	21.990	41.196	259.177	H
1Y.MK04A	22.889	41.419	589.356	H
4P.IT01A	8.768	45.379	1061.862	H
4P.IT02A	8.361	45.623	241.625	H
4P.IT03A	8.289	45.238	541.649	H
4P.IT06A	7.880	44.536	272.538	H
4P.IT08A	12.070	44.984	1408.210	H
4P.IT09A	11.436	44.661	792.225	H
9H.HR02A	15.941	44.108	109.256	M
9H.HR03A	15.973	43.861	201.823	H
9H.HR04A	16.281	43.822	86.922	M
9H.HR06A	16.373	43.664	204.020	H
9H.HR07A	16.582	43.825	184.344	M
9H.HR08A	16.611	43.517	511.512	H
9H.HR09A	16.903	43.486	218.184	H
9H.HR10A	17.219	43.342	86.501	M
9H.HR11A	17.374	43.207	67.974	M
9H.HR12A	17.610	42.987	397.714	H
AC.PHP	20.441	41.685	160.235	M
AC.PUK	19.893	42.043	47.937	M
BS.JMB	26.583	42.467	6.204	L
BW.BE1	11.221	47.911	493.901	H
BW.BGDS	13.027	47.635	209.285	H
BW.BHG	12.877	47.721	279.959	H
BW.BIB	11.247	48.152	6806.339	H
BW.FFB1	11.275	48.163	473.420	H
BW.FFB3	11.276	48.165	536.501	H
BW.GELB	11.251	48.163	519.791	H
BW.GRMB	11.264	48.141	684.374	H
BW.KW1	12.597	48.122	1371.092	H
BW.MGS01	11.510	48.067	623.686	H
BW.MGS02	11.588	48.078	5544.891	H
BW.MGS03	11.707	48.071	582.716	H
BW.MGS04	11.719	47.980	530.886	H
BW.MGS05	11.517	48.000	485.358	H
BW.MGSBH	11.639	48.030	522.656	H
BW.RJOB	12.796	47.737	676.102	H
BW.RTSA	12.842	47.768	1023.087	H
BW.SCE	11.709	47.038	37.333	M
BW.TON	11.289	48.174	558.266	H
BW.WRNG	11.731	47.826	518.172	H
C4.CERNS	6.066	46.267	1117.519	H
CH.ACB	8.255	47.588	259.751	H
CH.AIGLE	6.953	46.342	266.176	H
CH.BALST	7.695	47.336	305.807	H
CH.BAULM	6.468	46.787	322.376	H
CH.BERGE	8.178	47.872	264.806	H
CH.BERNI	10.023	46.414	260.655	H
CH.BNALP	8.425	46.870	284.096	H
CH.BOURR	7.230	47.394	371.644	H
CH.BRANT	6.473	46.938	314.409	H
CH.CHAMB	6.612	46.782	287.023	H
CH.CHASS	7.121	47.161	372.447	H
CH.COLLE	6.121	46.292	271.196	H
CH.DAGMA	8.012	47.231	322.080	H
CH.DAVOX	9.880	46.781	266.685	H
CH.DIX	7.408	46.081	219.833	H
CH.EMBD	7.832	46.217	204.406	H
CH.EMING	8.847	47.895	394.669	H
CH.EMMET	8.014	47.438	339.057	H
CH.FIESA	8.111	46.435	261.566	H
CH.FUORN	10.264	46.620	237.414	H
CH.FUSIO	8.663	46.455	228.482	H
CH.GIMEL	6.265	46.534	322.581	H
CH.GRIMS	8.319	46.578	232.087	H
CH.GRYON	7.111	46.251	263.113	H
CH.HASLI	8.151	46.757	259.524	H
CH.HAUIG	7.700	47.660	295.172	H
CH.ILLEZ	6.940	46.219	268.782	H
CH.JAUN	7.291	46.634	348.965	H
CH.LADOL	6.132	46.432	347.560	H
CH.LAUCH	7.772	46.416	288.580	H
CH.LIENZ	9.492	47.294	405.735	H
CH.LKBD2	7.644	46.375	247.950	H
CH.LLS	9.008	46.847	217.268	H
CH.MESRY	6.308	46.347	323.567	H
CH.METMA	8.253	47.712	262.964	H
CH.MFERR	7.112	45.951	217.857	H
CH.MMK	7.964	46.051	193.624	M
CH.MTI02	7.165	47.379	344.369	H
CH.MUGIO	9.042	45.922	256.450	H
CH.MUO	8.637	46.968	323.591	H
CH.MUTEZ	7.649	47.506	319.451	H
CH.NALPS	8.748	46.595	252.603	H
CH.PANIX	9.112	46.826	233.120	H
CH.PERON	5.908	46.191	284.751	H
CH.PLONS	9.381	47.049	239.727	H
CH.ROTHE	7.921	47.476	505.111	H
CH.SAIRA	7.086	47.303	334.960	H
CH.SALAN	6.973	46.144	275.165	H
CH.SALEV	6.097	46.060	412.506	H
CH.SAVIG	5.973	46.066	278.625	H
CH.SENIN	7.299	46.363	255.235	H
CH.SIMPL	8.020	46.240	205.970	H
CH.SLE	8.492	47.764	269.903	H
CH.SULZ	8.112	47.528	281.252	H
CH.TORNY	6.959	46.774	339.362	H
CH.TRULL	8.682	47.649	330.913	H
CH.VANNI	7.597	46.210	264.230	H
CH.VDL	9.449	46.483	207.688	H
CH.VDR	9.166	46.206	215.661	H
CH.VINZL	6.278	46.452	322.134	H
CH.VMV	9.022	46.423	191.675	M
CH.WALHA	9.123	47.753	419.575	H
CH.WGT	8.925	47.098	298.382	H
CH.WILA	8.908	47.415	344.678	H
CH.WIMIS	7.624	46.665	255.331	H
CH.ZUR	8.581	47.369	330.440	H
CL.MALA	21.873	38.393	4429.894	H
CL.MG06	21.946	38.413	182.074	M
CL.PSAM	22.184	38.322	603.551	H
CL.ROD3	21.892	38.308	1012.559	H
CR.DBRK	18.147	42.669	8369.081	H
CR.MORI	15.707	43.866	77.261	M
CR.MOSL	16.754	45.614	203.814	H
CR.OZLJ	15.467	45.615	105.790	M
CR.RIY	14.483	45.325	68.500	M
CR.STON	17.700	42.872	443.033	H
CR.ZAG	15.994	45.829	1134.279	H
CZ.JAVC	17.671	48.859	439.628	H
CZ.KRUC	16.395	49.062	258.551	H
CZ.MAUC	17.828	49.365	0.000	B
CZ.MORC	17.543	49.777	300.846	H
CZ.STAC	15.300	49.030	365.950	H
CZ.VRAC	16.593	49.308	267.934	H
FR.ABJF	0.761	45.574	210.774	H
FR.ADHE	4.770	44.374	581.012	H
FR.AGO	3.132	46.050	257.331	H
FR.AJAC	8.763	41.928	112.681	M
FR.ARBF	5.332	43.492	337.701	H
FR.ARTF	5.807	43.588	223.764	H
FR.BANN	4.156	44.369	332.850	H
FR.BLAF	6.045	43.951	298.078	H
FR.BOUC	6.256	47.247	255.889	H
FR.BRGF	1.771	45.957	220.320	H
FR.BSTF	5.643	43.801	269.732	H
FR.CALF	6.922	43.753	198.759	M
FR.CFF	3.111	45.763	333.844	H
FR.CHAMO	6.860	45.914	224.762	H
FR.CHLF	3.844	46.558	260.787	H
FR.CHMF	6.652	47.248	243.016	H
FR.CLAF	3.090	43.135	204.148	H
FR.CMPS	2.932	45.435	265.845	H
FR.COLF	3.694	45.500	221.316	H
FR.EILF	7.131	43.548	210.647	H
FR.ENAUX	6.777	44.109	220.845	H
FR.ESCA	7.374	43.831	180.584	M
FR.FAHY	5.463	47.505	277.516	H
FR.FOURG	5.811	47.104	258.142	H
FR.FRNF	2.561	45.385	222.335	H
FR.GARF	1.591	46.515	242.319	H
FR.GRN	5.744	45.241	400.768	H
FR.GZNF	2.201	46.174	222.649	H
FR.HOUCH	6.770	45.900	418.248	H
FR.HRSF	2.701	46.521	238.286	H
FR.ILLF	7.254	47.683	369.493	H
FR.ISO	7.050	44.184	158.969	M
FR.LBL	3.246	45.231	227.511	H
FR.LEUC	2.554	44.761	200.323	H
FR.MIGAL	6.033	43.080	230.327	H
FR.MLYF	5.768	43.988	327.415	H
FR.MONQ	1.194	44.367	200.079	H
FR.MORSI	9.363	42.953	123.330	M
FR.MVIF	7.153	43.896	206.919	H
FR.NIMR	7.203	43.680	604.269	H
FR.OG02	6.220	46.154	266.882	H
FR.OG35	5.571	46.045	281.902	H
FR.OGAG	6.540	44.788	212.856	H
FR.OGCB	5.097	44.850	294.264	H
FR.OGCC	5.550	44.429	387.389	H
FR.OGCN	5.089	45.154	425.736	H
FR.OGDF	5.069	44.557	292.207	H
FR.OGDI	6.225	44.109	274.102	H
FR.OGGL	4.611	45.878	239.732	H
FR.OGJA	6.710	44.910	260.584	H
FR.OGLC	6.074	44.370	236.058	H
FR.OGMO	6.683	45.209	195.911	M
FR.OGMY	5.889	45.881	282.745	H
FR.OGRV	4.752	46.346	258.425	H
FR.OGS1	5.805	45.061	496.111	H
FR.OGS3	5.806	45.070	235.106	H
FR.OGSA	6.401	45.037	206.681	H
FR.OGSM	5.697	45.609	259.437	H
FR.OGVA	6.682	46.330	281.816	H
FR.OGVG	6.112	44.815	175.069	M
FR.PIAF	7.617	44.116	122.560	M
